,cc_number,company_reg_number,cc_start_date,cc_billing_enddate,cc_agreed_limit,cc_balance_limit_ratio,cc_missed_payments,missed_payments_number
762,216554239367,20000762,2009-08-21 13:49:39.286257,09-25,22301.937095672954,21.289,NA,1
762,536400268123,20000762,2011-07-23 13:49:39.287257,08-27,22301.937095672954,20.746,NA,0
77,267457567971,20000077,2019-10-16 13:49:39.396282,11-25,63658.76352454408,11.785,NA,0
77,774004293579,20000077,2019-12-11 13:49:39.566325,01-09,84878.35136605878,14.919,NA,1
77,579209618855,20000077,2021-04-22 13:49:39.717321,06-01,84878.35136605878,11.474,NA,0
104,490266213515,20000104,2019-11-11 13:49:39.840325,12-10,84593.05244057626,13.35,NA,0
104,509621447086,20000104,2019-11-19 13:49:39.960324,01-02,84593.05244057626,14.593,-2,0
104,233459009871,20000104,2020-07-24 13:49:40.067854,09-03,112790.736587435,10.122,NA,0
104,238131571227,20000104,2021-05-31 13:49:40.198365,07-09,84593.05244057626,10.986,NA,0
852,813292214556,20000852,2013-09-14 13:49:40.198365,10-18,96176.89253734138,25.319,NA,1
852,583935608463,20000852,2010-05-03 13:49:40.198365,06-07,96176.89253734138,27.581,NA,0
852,219606234594,20000852,2009-10-14 13:49:40.198365,11-25,72132.66940300603,26.609,NA,0
852,145759264938,20000852,2012-05-21 13:49:40.198365,06-22,72132.66940300603,27.835,NA,0
801,561377871694,20000801,2013-03-23 13:49:40.198365,04-22,203466.92885408938,23.259,7,7
354,725207388578,20000354,2014-11-06 13:49:40.198365,12-06,51992.789133115286,17.6,NA,1
354,919625463821,20000354,2010-06-09 13:49:40.198365,07-12,51992.789133115286,22.489,NA,1
354,147152825095,20000354,2011-06-22 13:49:40.198365,08-03,51992.789133115286,19.12,NA,1
354,286220364516,20000354,2014-05-14 13:49:40.198365,06-27,38994.59184983646,21.43,NA,1
505,796283663040,20000505,2017-07-15 13:49:40.753331,08-23,85943.24172971681,14.012,NA,0
505,313761588896,20000505,2021-01-28 13:49:41.351990,03-07,85943.24172971681,13.384,NA,1
505,611761255143,20000505,2017-04-25 13:49:41.975199,06-03,64457.431297287614,13.971,NA,1
505,191922301635,20000505,2020-04-06 13:49:42.712357,05-06,64457.431297287614,14.858,NA,1
470,483845519524,20000470,2010-08-26 13:49:42.712357,10-07,58082.59273884291,19.355,NA,0
470,150276376646,20000470,2014-07-03 13:49:42.713373,08-06,58082.59273884291,19.768,NA,1
470,474217864949,20000470,2011-07-21 13:49:42.713373,08-19,58082.59273884291,21.338,NA,0
470,320170820348,20000470,2011-01-18 13:49:42.713373,02-21,58082.59273884291,17.82,NA,0
438,223777578738,20000438,2009-01-04 13:49:42.713373,02-02,131431.7176594913,22.683,NA,0
131,852196963169,20000131,2017-01-18 13:49:43.448222,02-19,64241.92920771988,14.67,7,7
131,169900924459,20000131,2017-05-04 13:49:44.093222,06-13,48181.446905789904,10.176,NA,0
131,711796528537,20000131,2016-10-14 13:49:44.747842,11-25,64241.92920771988,12.588,NA,1
191,851452804387,20000191,2011-02-18 13:49:44.748984,03-27,144109.42419773559,24.138,NA,0
191,987653042654,20000191,2012-07-05 13:49:44.748984,08-15,144109.42419773559,26.38,NA,1
191,504708584429,20000191,2009-04-01 13:49:44.748984,05-04,108082.0681483017,26.811,11,11
191,836742144469,20000191,2014-11-22 13:49:44.748984,12-21,144109.42419773559,22.603,NA,1
977,576528391637,20000977,2014-06-03 13:49:46.112502,07-06,117496.38476512494,27.239,NA,1
977,411976546556,20000977,2014-10-12 13:49:47.273765,11-19,117496.38476512494,22.899,6,6
977,961899333740,20000977,2014-01-31 13:49:48.549335,03-01,117496.38476512494,27.131,NA,1
977,288835525566,20000977,2020-06-28 13:49:49.521364,08-09,117496.38476512494,12.838,NA,1
782,573967207510,20000782,2020-03-12 13:49:49.769578,04-23,151054.410635128,14.35,NA,0
782,296078046582,20000782,2021-02-06 13:49:50.018329,03-08,151054.410635128,12.004,NA,1
782,522629495650,20000782,2018-08-31 13:49:50.245700,09-30,113290.807976346,14.259,NA,0
782,676522576151,20000782,2019-11-01 13:49:50.488211,12-08,151054.410635128,12.339,NA,0
151,788665676870,20000151,2019-07-09 13:49:50.660382,08-21,66514.638249124,10.869,NA,1
151,143530137089,20000151,2018-08-10 13:49:50.840291,09-18,66514.638249124,12.314,3,3
151,916283727660,20000151,2019-01-16 13:49:51.001311,02-26,66514.638249124,10.888,NA,0
151,830940721008,20000151,2018-12-08 13:49:51.186087,01-17,66514.638249124,13.177,NA,0
151,712671554319,20000151,2020-04-23 13:49:51.349257,05-27,49885.978686843,10.339,NA,1
151,217281369439,20000151,2021-01-07 13:49:51.524358,02-12,66514.638249124,14.041,NA,1
946,301210876870,20000946,2014-10-06 13:49:52.561317,11-08,2315.4644548507804,22.947,NA,0
946,472015935309,20000946,2017-11-24 13:49:53.416126,01-07,1736.5983411380853,11.361,NA,0
946,780331704453,20000946,2017-02-23 13:49:54.228517,03-26,2315.4644548507804,10.643,4,4
946,820765382232,20000946,2019-02-23 13:49:55.101121,04-01,1736.5983411380853,9.541,NA,1
616,153839092218,20000616,2019-11-29 13:49:55.309633,12-28,2443.1925704793457,9.522,NA,0
616,495337100014,20000616,2019-11-27 13:49:55.552388,12-29,2443.1925704793457,7.031,NA,0
616,397447058753,20000616,2019-12-06 13:49:55.795376,01-17,2443.1925704793457,9.457,NA,1
616,218610782100,20000616,2019-01-12 13:49:56.033289,02-23,2443.1925704793457,9.536,0,0
616,434662485043,20000616,2019-01-31 13:49:56.262214,03-07,2443.1925704793457,10.95,NA,0
616,519703415183,20000616,2019-01-15 13:49:56.492055,02-28,1832.3944278595093,7.272,NA,1
942,691335203852,20000942,2012-01-27 13:49:56.492055,03-01,2191.5565787209757,17.79,8,8
942,256292021833,20000942,2011-08-09 13:49:56.492055,09-20,2922.0754382946343,20.529,9,9
942,469810166663,20000942,2011-11-19 13:49:56.492055,12-23,2191.5565787209757,21.737,NA,0
626,763844729854,20000626,2018-01-03 13:49:57.410359,02-14,4899.695041387079,7.493,NA,1
626,791121126500,20000626,2020-07-06 13:49:58.261236,08-05,4899.695041387079,7.771,-2,0
626,348537722281,20000626,2019-02-03 13:49:59.102231,03-18,4899.695041387079,8.88,NA,0
